ra,dec,gal_l,gal_b,h_mag,shmag,h_2mass,k_2mass,j_2mass,p,sp,pa_deg,gpa_deg,spa,q,sq,u,su,nhwp,uf
288.733150,11.829427,46.118331,0.248399,10.34810,0.00170,10.376,9.402,12.518,2.68,0.44,7.5,69.8,4.7,2.622,0.436,0.707,0.439,16,1
288.087759,11.756202,45.760324,0.774075,12.39910,0.01130,12.419,11.861,13.628,2.84,1.26,166.2,48.6,12.7,2.750,1.259,-1.441,1.266,16,1
288.096109,11.593595,45.619972,0.691538,12.31550,0.00780,12.318,12.047,13.202,4.47,1.08,151.2,33.6,6.9,2.462,1.093,-3.888,1.069,16,1
287.986109,11.295987,45.306241,0.649342,8.76980,0.00040,8.914,8.347,10.161,1.13,0.28,96.3,158.7,7.0,-1.133,0.276,-0.253,0.280,16,1
288.001450,11.329806,45.343184,0.651658,10.50090,0.00210,10.559,9.649,12.520,1.80,0.39,62.7,125.1,6.2,-1.063,0.393,1.500,0.386,16,1
288.001466,11.449010,45.448869,0.706810,8.41914,0.00024,8.495,8.332,9.188,0.35,0.14,31.9,94.4,10.7,0.164,0.139,0.334,0.138,32,1
288.001556,11.046277,45.091884,0.520343,8.49380,0.00023,8.614,8.318,9.655,0.49,0.12,3.1,65.5,7.0,0.503,0.124,0.054,0.128,48,1
288.097292,11.184354,45.257770,0.501002,10.35220,0.00170,10.364,9.515,12.241,2.10,0.41,15.7,78.1,5.6,1.830,0.401,1.114,0.445,16,1
288.061896,11.477517,45.501556,0.667507,11.43520,0.00470,11.395,10.629,13.223,2.04,0.73,39.5,102.0,10.3,0.410,0.609,2.127,0.739,16,1
288.070222,11.176096,45.238153,0.520716,12.37950,0.01130,12.357,11.605,14.274,5.27,1.61,39.8,102.2,8.7,0.995,1.844,5.420,1.600,16,1
287.970328,11.305578,45.307582,0.667499,10.56210,0.00210,10.451,9.806,11.714,1.06,0.50,66.6,129.0,13.5,-0.800,0.508,0.853,0.492,16,1
288.865734,11.041080,45.480927,-0.233365,10.96079,0.00281,10.973,10.435,12.120,1.04,0.45,173.1,55.3,11.4,1.104,0.453,-0.273,0.467,32,1
288.071994,10.949375,45.038000,0.414194,9.08450,0.00060,9.071,8.427,10.730,1.17,0.35,35.4,97.9,8.7,0.399,0.359,1.151,0.354,16,1
288.073605,11.238709,45.295189,0.546766,10.99950,0.00420,10.942,10.172,12.876,2.15,0.41,15.3,77.7,5.4,1.886,0.407,1.117,0.414,16,1
288.868171,11.138447,45.568220,-0.190169,8.53500,0.00030,8.575,8.164,9.838,0.36,0.11,135.7,18.0,8.4,0.010,0.107,-0.377,0.106,16,1
288.076189,11.348262,45.393469,0.595245,10.28652,0.00135,10.306,9.800,11.738,0.87,0.28,26.4,88.8,8.9,0.555,0.280,0.730,0.287,32,1
288.830526,11.136452,45.549267,-0.158404,12.37550,0.00850,12.364,11.255,14.931,4.53,1.73,28.3,90.5,10.9,2.676,2.070,4.046,1.550,16,1
288.081188,11.200397,45.264674,0.522433,8.19135,0.00021,8.262,7.668,9.752,0.56,0.13,45.1,107.5,6.7,-0.002,0.160,0.572,0.135,32,1
288.087173,11.791155,45.791042,0.790766,10.09980,0.00089,10.246,9.381,12.097,0.93,0.20,179.6,62.0,6.0,0.951,0.200,-0.013,0.224,32,1
288.000432,11.499075,45.492785,0.730877,9.60299,0.00068,9.734,9.138,11.150,0.71,0.33,62.2,124.6,12.1,-0.443,0.338,0.649,0.330,48,1
288.089227,11.209165,45.276097,0.519504,9.41060,0.00070,9.448,8.866,10.926,0.43,0.17,29.1,91.5,11.5,0.241,0.139,0.390,0.181,16,1
287.926612,11.289844,45.273798,0.698225,9.74880,0.00110,9.701,9.285,10.877,0.92,0.24,91.9,154.3,7.6,-0.949,0.244,-0.062,0.249,16,1
