ra,dec,gal_l,gal_b,h_mag,shmag,h_2mass,k_2mass,j_2mass,p,sp,pa_deg,gpa_deg,spa,q,sq,u,su,nhwp,uf
288.496690,10.950019,45.231906,0.045059,12.45140,0.00870,12.408,11.255,15.011,3.20,1.50,11.0,73.3,13.5,3.280,1.474,1.323,1.676,16,1
288.498427,11.765082,45.954598,0.421964,10.68620,0.00170,10.745,9.955,12.544,1.76,0.32,10.6,73.0,5.2,1.665,0.321,0.648,0.325,16,1
288.333681,11.551255,45.690309,0.465673,11.15860,0.00390,10.948,10.704,12.388,1.56,0.58,171.1,53.5,10.6,1.581,0.581,-0.508,0.545,16,1
288.404074,11.271982,45.474907,0.274995,11.63550,0.00500,11.636,10.878,13.508,1.93,0.64,171.9,54.2,9.5,1.947,0.635,-0.569,0.698,16,1
288.718617,11.629917,45.935081,0.168233,8.54030,0.00040,8.628,7.704,10.715,0.59,0.12,168.1,50.4,6.1,0.548,0.122,-0.242,0.136,16,1
288.650877,11.064886,45.403933,-0.035614,12.10080,0.00760,12.103,11.510,13.524,2.10,0.95,15.4,77.7,12.9,1.983,0.906,1.185,1.067,16,1
288.335367,11.945851,46.040691,0.647202,11.67556,0.00512,11.770,11.490,12.334,1.65,0.76,149.7,32.1,12.0,0.896,0.803,-1.587,0.750,32,1
288.406596,11.187946,45.401612,0.233810,11.80829,0.00440,11.879,11.293,13.309,2.96,0.78,163.0,45.3,7.3,2.537,0.792,-1.717,0.749,32,1
288.406652,11.793983,45.938501,0.514957,8.10130,0.00021,8.207,7.712,9.525,1.05,0.12,15.1,77.4,3.3,0.912,0.108,0.529,0.159,32,1
288.871135,11.080108,45.517938,-0.219894,10.63080,0.00220,10.624,9.931,12.323,1.17,0.33,0.6,62.9,8.0,1.210,0.325,0.025,0.273,16,1
288.871310,11.026934,45.470953,-0.244793,10.52300,0.00180,10.540,10.339,11.322,1.13,0.38,139.8,22.1,9.6,0.201,0.315,-1.177,0.381,16,1
288.657641,11.635758,45.912490,0.223827,12.20700,0.01110,12.198,11.659,13.692,3.95,1.43,147.4,29.7,10.4,1.768,1.471,-3.814,1.422,16,1
288.657764,11.179738,45.508768,0.011780,9.08220,0.00050,9.130,8.641,10.560,0.49,0.12,25.7,88.0,6.9,0.318,0.105,0.398,0.129,16,1
288.503664,11.304489,45.549031,0.203577,11.99120,0.00570,11.940,10.850,14.535,2.57,0.85,170.8,53.2,9.5,2.573,0.845,-0.854,0.906,16,1
288.655253,10.996140,45.345058,-0.071367,12.41220,0.00970,12.338,11.340,14.709,3.20,1.50,23.2,85.5,13.4,2.433,1.336,2.561,1.628,16,1
288.653495,10.873305,45.235493,-0.126927,10.24120,0.00100,10.199,8.766,13.128,4.34,0.30,30.5,92.8,2.0,2.112,0.287,3.798,0.299,16,1
288.653497,11.809160,46.064144,0.308006,11.82177,0.00610,11.824,11.022,13.716,3.46,1.05,5.3,67.6,8.3,3.550,1.046,0.669,1.078,32,1
288.726331,11.315533,45.660261,0.015365,12.45380,0.01080,12.475,12.225,12.894,3.71,1.43,31.6,93.9,11.0,1.792,1.373,3.553,1.445,16,1
288.317865,11.271906,45.435620,0.349859,12.24902,0.00702,12.163,11.118,14.475,2.17,0.94,176.5,58.9,11.4,2.349,0.943,-0.290,0.987,32,1
288.830257,11.186226,45.593202,-0.135011,11.75450,0.00500,11.798,10.689,14.267,2.58,0.81,49.0,111.3,9.0,-0.379,0.827,2.677,0.808,16,1
288.644406,10.932877,45.284093,-0.091339,11.86950,0.00690,11.756,10.964,13.678,2.19,0.92,7.7,70.1,12.0,2.292,0.908,0.635,1.074,16,1
288.308971,11.200885,45.368651,0.324653,11.93756,0.00542,11.949,11.588,12.979,2.12,0.96,146.1,28.4,11.7,0.877,1.004,-2.159,0.947,47,1
288.308986,11.632832,45.751369,0.524935,11.06000,0.00620,11.139,10.787,12.091,4.81,1.45,161.3,43.6,8.6,3.989,1.240,-3.057,1.743,16,1
288.308998,11.002143,45.192580,0.232466,11.59464,0.00345,11.535,10.502,13.780,4.98,0.61,167.4,49.8,3.5,4.537,0.612,-2.144,0.591,32,1
288.309140,11.031835,45.218951,0.246112,11.25655,0.00216,11.270,10.239,13.583,3.10,0.43,171.6,54.0,3.9,2.998,0.426,-0.908,0.426,32,1
288.509924,11.792995,45.984547,0.424954,8.37750,0.00021,8.465,7.773,10.166,1.43,0.09,0.3,62.7,1.8,1.434,0.092,0.017,0.093,32,1
288.509966,11.585561,45.800841,0.328608,12.02750,0.00850,11.994,10.444,15.112,2.52,1.16,30.9,93.2,13.2,1.310,1.210,2.446,1.148,16,1
288.626130,11.525192,45.800242,0.199780,11.40296,0.00353,11.407,10.354,13.886,1.82,0.72,179.6,62.0,10.5,1.958,0.716,-0.026,0.606,32,1
288.627109,11.584486,45.853192,0.226482,10.88176,0.00223,10.921,9.628,13.696,0.98,0.47,15.5,77.9,12.3,0.929,0.450,0.560,0.504,32,1
288.412166,11.482799,45.665339,0.365788,10.94310,0.00260,10.963,10.457,12.399,1.65,0.62,27.4,89.8,10.8,1.014,0.506,1.441,0.673,16,1
288.735096,11.716819,46.019522,0.194352,11.52380,0.00680,11.416,10.816,12.919,2.06,1.01,21.7,84.0,14.0,1.666,1.023,1.577,0.989,16,1
288.735112,10.892437,45.289691,-0.188995,11.34870,0.00213,11.354,10.814,12.875,1.67,0.37,18.1,80.4,6.2,1.384,0.376,1.013,0.358,32,1
288.631721,11.678760,45.938770,0.266288,9.40740,0.00090,9.480,8.872,10.973,1.05,0.17,139.8,22.1,4.7,0.176,0.243,-1.048,0.169,16,1
288.632602,11.792507,46.039894,0.318379,10.90642,0.00253,10.960,10.863,11.361,0.94,0.42,142.8,25.1,11.6,0.278,0.435,-0.994,0.416,48,1
288.632627,11.860250,46.099892,0.349834,10.87924,0.00211,10.890,10.265,12.607,1.77,0.36,3.4,65.7,5.8,1.797,0.363,0.212,0.373,32,1
288.413970,11.184259,45.401703,0.225691,11.46673,0.00320,11.399,9.654,14.946,5.09,0.65,168.7,51.1,3.6,4.742,0.654,-1.967,0.619,32,1
288.740807,10.898206,45.297399,-0.191264,10.83310,0.00152,10.905,9.580,13.640,3.58,0.32,34.0,96.3,2.6,1.346,0.353,3.329,0.320,32,1
288.842683,11.281664,45.683350,-0.101392,11.22360,0.00580,11.258,10.321,13.260,3.96,0.66,35.2,97.5,4.8,1.344,0.653,3.786,0.665,16,1
288.741091,11.027509,45.412002,-0.131384,12.04600,0.00670,12.080,10.968,14.059,3.90,1.47,23.5,85.8,10.8,2.839,1.508,3.055,1.443,16,1
288.632761,11.948420,46.178028,0.390687,11.25118,0.00263,11.377,11.019,12.326,1.40,0.68,169.0,51.3,12.5,1.447,0.679,-0.585,0.699,32,1
288.414673,11.449240,45.636751,0.348040,10.99160,0.00250,10.955,10.034,13.185,2.91,0.52,177.6,59.9,5.1,2.943,0.518,-0.249,0.507,16,1
288.414734,11.829355,45.973507,0.524361,7.95860,0.00020,8.067,7.180,9.890,1.06,0.23,33.0,95.3,6.3,0.443,0.235,0.992,0.235,16,1
288.744450,11.130364,45.504592,-0.086472,10.21790,0.00130,10.292,8.859,13.233,1.79,0.31,20.9,83.2,4.9,1.359,0.332,1.213,0.278,16,1
288.750214,11.074127,45.457436,-0.117632,9.96680,0.00090,9.976,9.537,11.259,0.86,0.20,14.4,76.7,6.6,0.775,0.189,0.426,0.221,16,1
288.746693,11.222451,45.587140,-0.045597,12.36680,0.01050,12.427,12.183,13.011,4.77,1.73,44.0,106.3,10.4,0.178,1.742,5.074,1.727,16,1
288.376405,11.861037,45.984171,0.572291,10.49300,0.00180,10.440,9.926,11.787,1.15,0.27,5.4,67.7,6.7,1.158,0.267,0.220,0.257,16,1
288.752974,11.748079,46.055336,0.193391,9.51080,0.00080,9.324,7.576,12.226,1.76,0.18,19.2,81.5,2.9,1.388,0.182,1.100,0.167,16,1
288.752980,11.807269,46.107740,0.220912,10.80148,0.00207,10.800,9.682,13.251,1.96,0.45,36.2,98.4,6.3,0.612,0.439,1.917,0.447,32,1
288.864357,11.230040,45.647549,-0.144230,11.23530,0.00450,11.256,10.847,12.346,1.98,0.71,15.6,77.9,10.3,1.801,0.714,1.090,0.710,16,1
288.613473,11.802900,46.040396,0.339789,10.76000,0.00260,10.800,9.849,12.992,3.03,0.39,21.2,83.5,3.7,2.258,0.394,2.062,0.386,16,1
288.615365,10.862303,45.208350,-0.098882,10.06532,0.00077,10.068,9.275,12.035,2.84,0.23,21.3,83.6,2.3,2.097,0.234,1.927,0.232,32,1
288.748107,11.800763,46.099762,0.222109,11.11810,0.00279,11.018,10.043,13.288,1.42,0.63,22.8,85.1,11.6,1.086,0.650,1.111,0.609,32,1
288.278714,11.059408,45.229534,0.285355,8.54060,0.00040,8.605,7.571,10.728,3.30,0.09,10.1,72.5,0.8,3.097,0.090,1.137,0.092,16,1
288.637598,11.625409,45.894203,0.236400,12.10060,0.00900,12.122,11.267,14.341,3.17,1.33,176.8,59.1,12.1,3.417,1.335,-0.383,1.243,16,1
288.379816,11.003638,45.226149,0.171574,9.40050,0.00070,9.432,8.872,10.899,1.46,0.22,140.1,22.5,4.4,0.263,0.199,-1.456,0.224,16,1
288.380733,11.939217,46.055400,0.604804,11.96222,0.00516,11.933,11.716,12.506,2.24,0.77,4.5,66.9,9.3,2.340,0.765,0.373,0.809,32,1
288.616203,10.917783,45.257860,-0.073832,9.45456,0.00053,9.525,8.898,10.735,2.18,0.12,15.7,78.0,1.6,1.864,0.119,1.133,0.122,32,1
288.382485,11.398914,45.577530,0.352638,11.39960,0.00430,11.333,10.718,12.902,2.06,1.01,174.1,56.5,14.0,2.243,1.019,-0.468,0.723,16,1
288.621845,11.353138,45.645937,0.123553,9.65737,0.00058,9.754,9.387,10.709,0.59,0.17,150.9,33.2,7.9,0.326,0.162,-0.526,0.174,48,1
288.871382,11.098871,45.534658,-0.211376,12.42460,0.00930,12.276,10.869,15.400,3.83,1.52,31.1,93.4,11.4,1.922,1.480,3.650,1.534,16,1
288.871643,11.021652,45.466430,-0.247541,10.86120,0.00210,10.875,9.963,13.022,1.08,0.38,45.8,108.0,9.9,-0.031,0.386,1.146,0.375,16,1
288.753469,11.288998,45.649144,-0.020534,11.47810,0.00410,11.496,11.228,12.094,1.54,0.63,18.3,80.6,11.7,1.339,0.645,0.993,0.607,15,1
288.759641,11.003582,45.399287,-0.158630,7.94836,0.00017,7.980,6.966,10.024,1.98,0.12,23.6,85.9,1.7,1.349,0.111,1.455,0.129,32,1
288.625754,11.130708,45.450759,0.016803,11.88920,0.00550,11.916,11.543,12.927,1.81,0.66,24.7,87.0,10.5,1.257,0.650,1.464,0.673,16,1
288.626703,11.556214,45.827972,0.213698,9.64246,0.00081,9.675,9.130,11.087,1.05,0.15,170.3,52.7,3.9,1.005,0.149,-0.353,0.127,32,1
288.755270,11.830722,46.129545,0.229834,11.19530,0.00340,11.204,10.329,13.432,3.53,0.62,5.8,68.1,5.0,3.510,0.616,0.717,0.632,16,1
288.025417,11.403619,45.419496,0.664992,11.52750,0.00540,11.528,11.122,12.684,1.74,0.69,78.9,141.3,11.4,-1.730,0.673,0.707,0.795,16,1
288.393934,11.054852,45.277947,0.183060,10.71370,0.00230,10.581,9.464,12.884,2.86,0.36,4.3,66.7,3.6,2.848,0.359,0.431,0.334,16,1
288.756339,11.168296,45.543598,-0.079159,11.22550,0.00330,11.206,9.873,14.093,2.41,0.50,67.5,129.8,5.9,-1.742,0.518,1.741,0.480,16,1
288.601290,11.483536,45.752045,0.201980,10.60980,0.00200,10.622,9.802,12.602,1.30,0.33,170.1,52.5,7.4,1.261,0.338,-0.452,0.296,16,1
288.716010,11.657304,45.958141,0.183227,10.74740,0.00300,10.620,10.100,11.865,2.32,0.47,9.5,71.8,5.8,2.241,0.472,0.768,0.434,16,1
288.761571,10.891344,45.300806,-0.212506,12.32567,0.00932,12.440,11.898,13.797,5.42,1.36,58.2,120.5,6.9,-2.487,1.335,5.008,1.362,32,1
288.029645,11.211961,45.251515,0.572602,10.43250,0.00180,10.483,9.995,11.686,0.79,0.27,74.8,137.2,9.7,-0.716,0.276,0.420,0.238,16,1
288.029656,11.062969,45.119447,0.503623,10.74010,0.00250,10.778,9.949,12.804,2.62,0.39,18.6,81.0,4.3,2.109,0.365,1.601,0.436,16,1
288.397382,11.465674,45.643446,0.370677,11.78180,0.00590,11.747,10.492,14.582,3.47,1.04,20.6,82.9,8.6,2.726,1.128,2.382,0.917,16,1
288.399851,11.051173,45.277383,0.176209,10.85529,0.00201,10.868,9.662,13.151,1.25,0.42,179.5,61.9,9.1,1.320,0.418,-0.022,0.390,32,1
288.717815,10.863307,45.256003,-0.187501,11.72430,0.00340,11.723,10.313,14.686,6.46,0.63,22.8,85.1,2.8,4.540,0.627,4.635,0.636,16,1
288.654056,11.638376,45.913176,0.228153,10.28800,0.00180,10.381,9.664,12.052,2.30,0.40,160.1,42.4,4.9,1.791,0.430,-1.496,0.340,16,1
288.716352,11.127687,45.489403,-0.063309,9.71900,0.00080,9.710,9.239,11.025,0.81,0.19,7.4,69.7,6.7,0.806,0.185,0.213,0.233,16,1
288.609360,11.744793,45.987070,0.316358,10.69220,0.00180,10.744,9.574,13.162,3.50,0.32,22.9,85.2,2.6,2.445,0.313,2.518,0.322,16,1
288.610182,10.871414,45.214053,-0.090141,11.65972,0.00341,11.687,11.144,13.073,1.84,0.48,12.5,74.8,7.2,1.727,0.486,0.803,0.462,32,1
288.610212,11.623343,45.879910,0.259193,10.21670,0.00113,10.246,9.619,11.898,2.14,0.29,158.2,40.5,3.9,1.562,0.279,-1.491,0.303,32,1
288.399883,11.100531,45.321120,0.199083,10.96970,0.00410,10.966,10.327,12.544,1.70,0.57,148.2,30.6,9.6,0.797,0.492,-1.600,0.586,16,1
288.400691,11.756481,45.902571,0.502728,11.45130,0.00450,11.392,10.607,13.345,2.02,0.66,173.0,55.4,9.4,2.062,0.650,-0.514,0.828,16,1
288.722381,11.662034,45.965229,0.179902,9.41890,0.00080,9.478,8.615,11.446,2.96,0.23,9.1,71.4,2.3,2.821,0.237,0.923,0.190,16,1
288.719945,10.952048,45.335542,-0.148094,10.46220,0.00180,10.509,9.344,12.836,4.22,0.64,28.2,90.5,4.3,2.360,0.613,3.551,0.645,16,1
288.403294,11.490435,45.668069,0.377033,11.62319,0.00477,11.617,10.653,13.875,3.76,0.92,17.4,79.7,6.8,3.180,0.837,2.202,1.065,32,1
288.726917,11.782933,46.074331,0.232182,10.52620,0.00220,10.548,10.216,11.564,0.80,0.34,19.0,81.3,12.3,0.688,0.350,0.539,0.336,16,1
288.841751,11.265072,45.668239,-0.108303,9.10980,0.00080,9.152,8.719,10.235,0.65,0.15,28.6,90.9,6.7,0.361,0.138,0.560,0.156,16,1
288.656888,11.339964,45.650238,0.087008,11.42260,0.00420,11.426,10.285,13.934,1.89,0.64,123.4,5.7,9.7,-0.789,0.694,-1.833,0.630,16,1
288.613887,10.972261,45.305044,-0.046506,11.62141,0.00360,11.740,11.273,12.876,1.60,0.69,5.0,67.4,11.4,1.716,0.694,0.305,0.579,32,1
288.614824,11.830726,46.065652,0.351546,10.56400,0.00220,10.614,9.893,12.407,2.24,0.33,178.9,61.3,4.2,2.266,0.326,-0.084,0.338,16,1
288.406793,11.412196,45.600352,0.337693,10.15910,0.00130,10.110,9.188,12.267,2.92,0.42,160.3,42.7,4.1,2.284,0.403,-1.873,0.446,16,1
288.406843,11.787870,45.933173,0.511955,12.23558,0.00703,12.291,11.766,13.660,3.10,1.19,35.0,97.3,10.3,1.138,1.062,3.116,1.208,32,1
288.730401,11.725666,46.025217,0.202535,10.14690,0.00150,10.102,8.932,12.711,4.01,0.47,16.2,78.5,3.3,3.407,0.409,2.168,0.580,16,1
288.040534,11.231694,45.273952,0.572269,11.59910,0.00480,11.638,11.265,12.230,1.60,0.62,78.2,140.7,11.1,-1.575,0.613,0.685,0.663,16,1
288.914067,11.132409,45.583837,-0.232835,12.26473,0.00650,12.234,10.914,13.801,2.33,0.87,37.9,100.2,10.0,0.608,0.892,2.409,0.866,32,1
288.915433,11.188319,45.633943,-0.207993,12.43310,0.01000,12.504,11.770,14.346,4.25,1.14,39.8,102.1,7.7,0.792,1.172,4.329,1.138,16,1
288.616590,11.148307,45.462165,0.032942,10.24484,0.00094,10.302,9.690,11.832,1.18,0.18,13.6,75.9,4.2,1.065,0.179,0.547,0.162,32,1
288.407206,11.099540,45.323577,0.192258,12.06560,0.00920,11.743,10.863,13.621,2.90,1.45,6.8,69.2,14.3,3.154,1.447,0.766,1.508,16,1
288.645504,10.892460,45.248807,-0.111076,11.67248,0.00303,11.660,11.009,13.282,1.74,0.61,21.9,84.2,9.5,1.336,0.604,1.278,0.625,32,1
288.731644,10.911333,45.304836,-0.177194,11.30790,0.00370,11.311,10.168,11.251,3.35,0.93,40.7,103.0,7.9,0.515,0.940,3.442,0.927,16,1
288.621311,11.291918,45.591484,0.095570,8.71585,0.00028,8.802,8.390,10.007,0.48,0.15,142.6,24.9,8.6,0.131,0.167,-0.484,0.148,32,1
288.646484,11.120109,45.450826,-0.006133,11.63930,0.00440,11.635,11.019,13.023,1.46,0.63,13.7,76.0,12.4,1.409,0.593,0.732,0.756,16,1
288.734297,11.769649,46.065930,0.219609,11.48370,0.00470,11.475,10.395,13.903,1.80,0.74,20.5,82.8,11.7,1.472,0.758,1.276,0.708,16,1
288.410260,11.024873,45.258826,0.154955,12.06920,0.00950,12.106,10.803,14.984,2.86,1.12,18.2,80.5,11.2,2.476,1.060,1.822,1.218,16,1
288.625175,11.910593,46.141083,0.379683,11.83770,0.00516,11.520,10.731,13.131,2.97,1.22,1.3,63.7,10.9,3.213,1.223,0.149,1.212,32,1
288.626153,10.917543,45.262187,-0.082595,10.61420,0.00210,10.655,9.573,12.941,2.32,0.43,27.7,90.0,5.3,1.341,0.373,1.939,0.456,16,1
288.413908,11.144641,45.366580,0.207361,9.40390,0.00070,9.415,8.669,11.106,1.78,0.12,163.6,45.9,1.9,1.499,0.121,-0.970,0.103,16,1
288.413916,11.491136,45.673520,0.368137,9.22683,0.00051,9.352,8.005,12.056,3.52,0.21,26.0,88.4,1.7,2.172,0.177,2.781,0.223,32,1
288.741731,11.267246,45.624534,-0.020458,10.63730,0.00190,10.651,9.939,12.355,1.85,0.54,23.0,85.3,8.3,1.340,0.528,1.385,0.548,16,1
288.602783,11.808006,46.040056,0.351427,9.50760,0.00100,9.524,8.409,11.803,2.99,0.26,17.2,79.5,2.5,2.475,0.258,1.691,0.255,16,1
288.742016,11.208355,45.572527,-0.048091,11.13580,0.00330,11.181,10.418,13.126,1.27,0.48,140.3,22.5,10.9,0.248,0.497,-1.335,0.484,16,1
288.742045,11.218262,45.581311,-0.043509,11.77200,0.00560,11.822,10.562,14.482,2.08,0.91,77.5,139.8,12.5,-2.054,0.897,0.957,0.961,16,1
288.928278,11.227942,45.674877,-0.200698,7.84936,0.00018,7.895,7.309,9.309,0.72,0.11,38.8,101.1,4.4,0.155,0.137,0.708,0.109,32,1
288.742870,10.976197,45.367387,-0.156790,9.13920,0.00050,9.190,7.884,11.727,1.64,0.16,44.6,106.9,2.8,0.025,0.192,1.646,0.160,16,1
288.632970,11.703722,45.961442,0.276804,8.79380,0.00050,8.870,7.667,11.369,2.12,0.16,16.3,78.6,2.1,1.787,0.160,1.143,0.148,16,1
288.415873,11.974448,46.102561,0.590693,10.00160,0.00130,10.073,9.162,12.093,1.71,0.28,25.9,88.2,4.8,1.070,0.301,1.359,0.274,16,1
288.416389,11.070488,45.302024,0.170794,10.18040,0.00140,10.269,10.057,10.649,1.42,0.23,160.2,42.6,4.7,1.112,0.250,-0.918,0.209,16,1
288.422014,11.799412,45.950288,0.504155,11.85716,0.00414,11.877,11.349,13.314,2.40,0.66,6.4,68.8,7.6,2.428,0.662,0.552,0.670,32,1
288.007910,11.213038,45.242601,0.591999,12.29094,0.00939,12.362,12.132,12.786,3.57,1.50,43.4,105.8,11.1,0.219,1.530,3.865,1.497,32,1
288.636244,10.902239,45.253240,-0.098480,11.56989,0.00420,11.625,11.080,12.962,1.90,0.70,34.7,97.0,9.9,0.712,0.658,1.895,0.702,32,1
288.379037,11.757330,45.893488,0.521902,10.64640,0.00380,10.588,10.215,11.615,0.62,0.30,2.2,64.6,14.0,0.692,0.305,0.053,0.311,16,1
288.758783,11.308759,45.669061,-0.015957,9.51940,0.00080,9.559,8.709,11.509,1.41,0.20,21.9,84.2,4.0,1.026,0.184,0.982,0.212,16,1
288.008736,11.661810,45.640825,0.798974,11.26955,0.00314,11.379,11.316,11.680,1.76,0.57,84.5,147.0,8.8,-1.814,0.566,0.352,0.666,32,1
288.009486,11.262797,45.287427,0.613659,7.69245,0.00021,7.842,7.510,9.071,0.64,0.21,88.4,150.8,8.7,-0.673,0.205,0.038,0.222,32,1
288.379883,11.683292,45.828280,0.486823,10.99520,0.00300,10.998,10.276,12.775,2.00,0.45,5.6,68.0,6.4,2.014,0.447,0.401,0.402,16,1
287.949103,11.297052,45.290393,0.682006,8.65740,0.00050,8.704,8.251,10.056,0.68,0.17,101.3,163.7,6.9,-0.650,0.164,-0.269,0.169,16,1
288.011129,11.070996,45.118146,0.523456,9.95910,0.00160,9.986,9.246,11.749,1.35,0.26,11.8,74.2,5.4,1.256,0.237,0.548,0.331,16,1
288.011867,11.590326,45.578869,0.763174,11.76985,0.00454,11.862,11.297,13.284,3.38,1.32,59.4,121.9,10.4,-1.750,1.315,3.182,1.316,32,1
288.639204,10.897250,45.250173,-0.103372,11.16111,0.00205,11.180,10.427,12.649,1.84,0.38,25.1,87.4,5.7,1.204,0.369,1.446,0.382,32,1
288.754907,11.063735,45.450378,-0.126542,9.92760,0.00090,10.004,9.342,11.501,1.45,0.37,18.6,80.9,7.3,1.195,0.376,0.905,0.366,16,1
288.767757,11.765834,46.077785,0.188836,8.54670,0.00040,8.604,7.601,10.717,1.11,0.13,28.1,90.4,3.3,0.620,0.147,0.925,0.119,16,1
288.641539,11.538436,45.818985,0.192565,11.34930,0.00450,11.337,10.676,13.190,1.55,0.72,137.2,19.5,13.3,0.132,0.767,-1.702,0.717,16,1
288.389412,11.092739,45.309450,0.204570,11.33170,0.00390,11.319,10.826,12.466,1.54,0.54,170.2,52.6,10.1,1.537,0.546,-0.547,0.515,16,1
288.392096,11.805905,45.942452,0.533111,12.14605,0.00636,12.199,11.304,14.317,3.53,0.87,25.0,87.3,6.9,2.340,0.904,2.784,0.851,32,1
288.393953,11.337104,45.527990,0.314002,12.23110,0.00830,12.219,11.724,13.472,3.58,1.42,150.1,32.4,11.4,1.932,1.561,-3.331,1.371,16,1
288.717848,10.910370,45.297685,-0.165649,9.71070,0.00090,9.748,8.678,12.029,3.90,0.25,29.9,92.2,1.9,1.967,0.281,3.382,0.244,16,1
288.849127,11.144576,45.564950,-0.170778,10.01370,0.00110,9.966,8.810,12.385,2.24,0.28,39.9,102.2,3.6,0.397,0.187,2.218,0.280,16,1
288.600425,11.877084,46.100157,0.385561,10.73040,0.00220,10.723,9.845,12.744,2.18,0.52,12.3,74.6,6.9,2.041,0.521,0.936,0.530,16,1
288.600427,11.691962,45.936222,0.299559,11.15700,0.00370,11.201,10.721,12.320,2.03,0.93,147.6,29.9,13.1,0.952,0.931,-2.021,0.931,16,1
288.601319,11.449641,45.722043,0.186207,12.20290,0.00900,12.121,11.194,14.194,3.46,1.15,169.9,52.3,9.5,3.419,1.137,-1.251,1.230,16,1
288.025496,11.683831,45.667944,0.794615,9.32350,0.00090,9.397,8.977,10.673,0.69,0.14,100.6,163.0,6.0,-0.661,0.137,-0.256,0.186,16,1
288.029253,11.027534,45.087853,0.487570,9.07260,0.00050,9.146,8.522,10.667,0.43,0.21,19.1,81.5,14.0,0.378,0.209,0.297,0.214,16,1
288.601343,11.916607,46.135574,0.403127,11.05880,0.00300,11.060,10.178,12.897,1.84,0.56,3.0,65.3,8.8,1.912,0.563,0.201,0.567,16,1
288.601363,11.496318,45.763397,0.207855,6.59435,0.00007,6.500,5.781,8.115,1.79,0.71,4.8,67.1,10.5,1.897,0.708,0.319,0.673,32,1
288.602295,10.971339,45.298940,-0.036857,10.56940,0.00190,10.689,10.292,11.956,1.66,0.44,5.6,67.9,7.7,1.680,0.437,0.335,0.562,16,1
288.398208,10.895972,45.139151,0.105624,10.49930,0.00190,10.522,10.097,11.886,0.87,0.30,19.8,82.2,9.9,0.708,0.303,0.587,0.294,16,1
288.400721,11.708283,45.859886,0.480340,12.46870,0.01150,12.327,11.806,13.758,2.88,1.38,41.8,104.1,13.7,0.361,1.334,3.169,1.377,16,1
288.723352,11.247601,45.598760,-0.013635,8.63440,0.00040,8.686,7.818,10.565,0.73,0.16,177.0,59.3,6.1,0.747,0.156,-0.077,0.153,16,1
288.871449,11.266156,45.682752,-0.133579,11.58330,0.00830,11.577,10.702,13.618,2.93,1.02,22.9,85.2,10.0,2.160,1.056,2.224,0.981,16,1
288.029722,11.223638,45.261901,0.577940,11.47440,0.00440,11.503,10.685,13.424,1.77,0.67,25.9,88.4,10.9,1.167,0.737,1.486,0.625,16,1
288.030257,11.459478,45.471210,0.686641,9.12620,0.00060,9.180,8.674,10.460,0.58,0.16,111.9,174.3,7.7,-0.435,0.146,-0.417,0.167,16,1
288.719102,11.039633,45.412700,-0.106639,11.43940,0.00325,11.471,10.904,12.335,1.47,0.58,25.0,87.3,10.4,1.015,0.636,1.210,0.529,32,1
288.606799,11.377597,45.660742,0.147979,10.72920,0.00230,10.823,10.616,11.238,1.32,0.41,172.2,54.5,8.8,1.334,0.401,-0.371,0.459,16,1
288.728701,11.700240,46.001932,0.192187,10.29680,0.00190,10.287,9.890,11.473,1.66,0.28,5.0,67.3,4.8,1.658,0.277,0.295,0.307,16,1
288.875980,11.257697,45.677334,-0.141449,7.82010,0.00030,7.868,7.403,9.140,0.95,0.14,13.3,75.5,4.2,0.858,0.145,0.428,0.117,16,1
287.986709,11.063391,45.100311,0.541180,8.73870,0.00050,8.880,8.410,10.086,0.66,0.19,155.7,38.1,8.4,0.456,0.195,-0.517,0.193,16,1
287.987233,11.153848,45.180740,0.582587,10.21530,0.00150,10.267,9.148,12.348,2.81,0.34,34.2,96.6,3.5,1.042,0.351,2.629,0.337,16,1
288.360316,10.907704,45.132282,0.144028,11.69500,0.00980,11.642,11.149,12.674,2.21,0.90,6.5,68.8,11.7,2.331,0.898,0.536,0.987,16,1
288.611204,11.055314,45.377364,-0.005585,12.18391,0.00669,12.212,10.986,13.926,2.79,1.25,44.5,106.8,11.7,0.058,1.232,3.054,1.249,32,1
288.039088,11.371785,45.397479,0.638377,10.71910,0.00240,10.796,10.266,12.136,1.25,0.31,76.4,138.9,7.0,-1.143,0.304,0.586,0.313,16,1
288.613003,11.503113,45.774714,0.200911,10.84668,0.00147,10.876,10.142,12.586,2.37,0.39,162.1,44.4,4.6,1.950,0.366,-1.410,0.427,64,1
288.613917,11.496866,45.769598,0.197216,12.47775,0.01087,12.507,11.539,14.510,3.73,1.48,174.0,56.2,10.6,3.926,1.479,-0.841,1.545,32,1
288.613943,11.748385,45.992335,0.314053,11.04620,0.00220,11.077,10.019,13.426,3.00,0.45,31.5,93.8,4.3,1.376,0.436,2.698,0.447,16,1
288.407564,11.027037,45.259515,0.158303,8.42990,0.00030,8.457,7.442,10.419,0.84,0.28,136.3,18.6,9.5,0.039,0.225,-0.887,0.279,16,1
288.363752,11.311887,45.491913,0.328537,11.63480,0.00490,11.613,10.791,13.547,3.91,0.74,169.3,51.7,5.4,3.706,0.713,-1.453,0.918,16,1
288.895622,11.088791,45.536808,-0.237121,9.56210,0.00080,9.555,8.312,12.257,3.07,0.13,37.8,100.1,1.2,0.764,0.177,2.974,0.129,16,1
